no,cafename,area,location,time,dayoff,image,dessert,pet,nokids,takeout,delivery,meeting,franchise,parking,price,xlocation,ylocation,score,count,average
248,클라우드 나인,상대동,경남 진주시 대신로292번길 15 1층,월~토 11:00~21:00,,/public/cafe/상대동/클라우드 나인.jpg,1,0,0,0,0,1,0,1,3800,35.18666594,128.1186399,0,0,0
249,파리바게뜨 진주도동점,상대동,경남 진주시 동진로 188,,,/public/cafe/logo.png,0,0,0,0,0,0,1,0,3700,35.17951989,128.1117222,0,0,0
250,파리제과,상대동,경남 진주시 동진로 119,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.17958599,128.1041313,0,0,0
251,플라워 에스프레소,상대동,경남 진주시 돗골로112번길 3-1,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.17836178,128.1126675,0,0,0
252,핑크퐁당,상대동,경남 진주시 돗골로 124 1층,월~일 9:00~19:00,,/public/cafe/상대동/핑크퐁당.jpg,0,0,0,1,0,0,0,0,1500,35.17919952,128.1123846,0,0,0
253,하삼동커피 진주시청점,상대동,경남 진주시 동진로 148,월~금 8:00~20:00 / 토~일 8:00~19:00,,/public/cafe/상대동/하삼동커피 진주시청점.jpg,0,0,0,0,0,0,1,0,1500,35.1793476,128.1073789,0,0,0
254,헬로우커피,상대동,경남 진주시 모덕로 48-2 1층,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.1813279,128.1029485,0,0,0
255,히든커피바,상대동,경남 진주시 솔밭로132번길 33,월~토 10:00~18:00,,/public/cafe/상대동/히든커피바.jpg,1,0,0,0,0,1,0,1,4000,35.18118416,128.1104421,0,0,0
256,782,상봉동,경남 진주시 의병로 95-6 1층,월~금 10:00~21:00,토 / 일,/public/cafe/상봉동/782.jpg,1,0,0,0,0,0,0,0,3500,35.20025207,128.0705163,0,0,0
257,금나래,상봉동,경남 진주시 창렬로 134,,,/public/cafe/상봉동/금나래.jpg,1,0,0,0,0,0,0,0,3000,35.19840177,128.071843,0,0,0
258,다정하게,상봉동,경남 진주시 진주대로1164번길 15 다정하게,월~토 12:00~17:00,일,/public/cafe/상봉동/다정하게.jpg,1,0,0,0,0,0,0,0,4000,35.19671943,128.0755502,0,0,0
259,더로맨티크,상봉동,경남 진주시 비봉로 101,화~일 11:00~21:00,월,/public/cafe/logo.png,1,0,0,0,1,1,0,0,10000,35.1996055,128.0786288,0,0,0
260,더리터 진주보건대점,상봉동,경남 진주시 의병로 56,월~토 8:00~22:00 / 일 9:00~22:00,,/public/cafe/상봉동/더리터 진주보건대점.jpg,0,0,0,1,0,0,1,1,2000,35.19773952,128.0686595,0,0,0
261,더웨이닝커피 진주 보건대점,상봉동,경남 진주시 창렬로114번길 2 1층,월~일 10:00~22:00,,/public/cafe/상봉동/더웨이닝커피 진주 보건대점.jpg,0,0,0,0,0,0,1,0,4000,35.19779368,128.0696088,0,0,0
262,데이원커피 상봉점,상봉동,경남 진주시 상봉대룡길 7 1층,24시간 영업,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,1400,35.20041058,128.0685914,0,0,0
263,베이크온리,상봉동,경남 진주시 비봉로82번길 5 1층,월~토 11:00~19:30,일,/public/cafe/상봉동/베이크온리.jpg,0,1,0,0,1,0,0,1,3000,35.1980459,128.0799122,0,0,0
264,브릭,상봉동,경남 진주시 창렬로114번길 10 1층,토~수 11:00~22:00,목 / 금,/public/cafe/상봉동/브릭.jpg,0,0,0,0,0,0,0,0,3000,35.19722453,128.0698519,0,0,0
265,블루포트 진주보건대학교,상봉동,경남 진주시 의병로 51,,,/public/cafe/logo.png,1,0,0,0,0,0,0,0,10000,35.19805829,128.0666581,0,0,0
266,상봉동커피,상봉동,경남 진주시 비봉로73번길 18 1층,월~일 7:30~20:00,,/public/cafe/상봉동/상봉동커피.jpg,0,0,0,0,0,1,0,0,3000,35.19707444,128.0778527,0,0,0
267,아미고스커피,상봉동,경남 진주시 창렬로 78-1 1층,월~금 11:00~21:00 / 토 11:00~20:00,일,/public/cafe/상봉동/아미고스커피.jpg,0,0,0,0,0,0,0,0,3000,35.19554336,128.0690728,0,0,0
